[00:52:48] Name: Popper, Id: 16, Type: 9, Entity: 1265, Amount: 1, Value: 0, Desc: Popper mata Troll LC:gubre en 1,935,621
[00:52:51] Name: Popper, Id: 16, Type: 9, Entity: 1266, Amount: 1, Value: 0, Desc: Popper mata Golem de Piedra Mayor en 1,935,620
[00:52:59] Name: Popper, Id: 16, Type: 9, Entity: 1265, Amount: 1, Value: 0, Desc: Popper mata Troll LC:gubre en 1,933,616
[00:53:03] Name: Popper, Id: 16, Type: 9, Entity: 1266, Amount: 1, Value: 0, Desc: Popper mata Golem de Piedra Mayor en 1,936,617
[00:56:24] Name: Popper, Id: 16, Type: 9, Entity: 571, Amount: 1, Value: 0, Desc: Popper mata Devorador del Inframundo en 14,93,76
[00:56:42] Name: Popper, Id: 16, Type: 4, Entity: 1960, Amount: 2, Value: 100000, Desc: TC:nica Enraigada en 14,94,72
[00:56:44] Name: Popper, Id: 16, Type: 4, Entity: 1958, Amount: 3, Value: 150000, Desc: TC:nica de Archimago (Bajos) en 14,96,72
[00:56:46] Name: Popper, Id: 16, Type: 4, Entity: 3050, Amount: 2, Value: 100000, Desc: Armadura del Trotamundos (Bajos) en 14,97,72
[00:56:47] Name: Popper, Id: 16, Type: 4, Entity: 3049, Amount: 1, Value: 50000, Desc: AtavC-o de Tyrell (Bajos) en 14,99,72
[00:57:21] Name: Popper, Id: 16, Type: 4, Entity: 1836, Amount: 1, Value: 50000, Desc: Coraza de Ocre (Bajos) en 14,101,71
[00:57:33] Name: Popper, Id: 16, Type: 4, Entity: 1865, Amount: 1, Value: 50000, Desc: Alfanje en 14,104,72
[00:59:54] Name: Popper, Id: 16, Type: 9, Entity: 944, Amount: 1, Value: 0, Desc: Popper mata Golem Infernal en 14,44,38
