[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 2, Value: 0, Desc: Lvl: 2, HP: 26 +6
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 3, Value: 0, Desc: Lvl: 3, HP: 32 +6
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 4, Value: 0, Desc: Lvl: 4, HP: 40 +8
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 5, Value: 0, Desc: Lvl: 5, HP: 49 +9
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 6, Value: 0, Desc: Lvl: 6, HP: 57 +8
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 7, Value: 0, Desc: Lvl: 7, HP: 66 +9
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 8, Value: 0, Desc: Lvl: 8, HP: 75 +9
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 9, Value: 0, Desc: Lvl: 9, HP: 82 +7
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 10, Value: 0, Desc: Lvl: 10, HP: 88 +6
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 11, Value: 0, Desc: Lvl: 11, HP: 94 +6
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 12, Value: 0, Desc: Lvl: 12, HP: 102 +8
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 13, Value: 0, Desc: Lvl: 13, HP: 111 +9
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 14, Value: 0, Desc: Lvl: 14, HP: 119 +8
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 15, Value: 0, Desc: Lvl: 15, HP: 128 +9
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 16, Value: 0, Desc: Lvl: 16, HP: 136 +8
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 17, Value: 0, Desc: Lvl: 17, HP: 145 +9
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 18, Value: 0, Desc: Lvl: 18, HP: 154 +9
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 19, Value: 0, Desc: Lvl: 19, HP: 164 +10
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 20, Value: 0, Desc: Lvl: 20, HP: 174 +10
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 21, Value: 0, Desc: Lvl: 21, HP: 181 +7
[06:35:42] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 22, Value: 0, Desc: Lvl: 22, HP: 190 +9
[06:35:49] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 23, Value: 0, Desc: Lvl: 23, HP: 199 +9
[06:35:49] Name: WyroX, Id: 32, Type: 11, Entity: 0, Amount: 24, Value: 0, Desc: Lvl: 24, HP: 208 +9
