[22:19:48] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 2, Value: 0, Desc: Lvl: 2, HP: 28 +7
[22:19:48] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 3, Value: 0, Desc: Lvl: 3, HP: 36 +8
[22:19:48] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 4, Value: 0, Desc: Lvl: 4, HP: 45 +9
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 5, Value: 0, Desc: Lvl: 5, HP: 51 +6
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 6, Value: 0, Desc: Lvl: 6, HP: 58 +7
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 7, Value: 0, Desc: Lvl: 7, HP: 65 +7
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 8, Value: 0, Desc: Lvl: 8, HP: 71 +6
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 9, Value: 0, Desc: Lvl: 9, HP: 79 +8
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 10, Value: 0, Desc: Lvl: 10, HP: 85 +6
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 11, Value: 0, Desc: Lvl: 11, HP: 94 +9
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 12, Value: 0, Desc: Lvl: 12, HP: 102 +8
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 13, Value: 0, Desc: Lvl: 13, HP: 111 +9
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 14, Value: 0, Desc: Lvl: 14, HP: 118 +7
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 15, Value: 0, Desc: Lvl: 15, HP: 127 +9
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 16, Value: 0, Desc: Lvl: 16, HP: 135 +8
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 17, Value: 0, Desc: Lvl: 17, HP: 142 +7
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 18, Value: 0, Desc: Lvl: 18, HP: 148 +6
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 19, Value: 0, Desc: Lvl: 19, HP: 157 +9
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 20, Value: 0, Desc: Lvl: 20, HP: 164 +7
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 21, Value: 0, Desc: Lvl: 21, HP: 172 +8
[22:19:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 22, Value: 0, Desc: Lvl: 22, HP: 178 +6
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 23, Value: 0, Desc: Lvl: 23, HP: 186 +8
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 24, Value: 0, Desc: Lvl: 24, HP: 195 +9
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 25, Value: 0, Desc: Lvl: 25, HP: 201 +6
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 26, Value: 0, Desc: Lvl: 26, HP: 210 +9
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 27, Value: 0, Desc: Lvl: 27, HP: 219 +9
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 28, Value: 0, Desc: Lvl: 28, HP: 225 +6
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 29, Value: 0, Desc: Lvl: 29, HP: 234 +9
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 30, Value: 0, Desc: Lvl: 30, HP: 240 +6
[23:16:49] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 31, Value: 0, Desc: Lvl: 31, HP: 249 +9
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 32, Value: 0, Desc: Lvl: 32, HP: 258 +9
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 33, Value: 0, Desc: Lvl: 33, HP: 264 +6
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 34, Value: 0, Desc: Lvl: 34, HP: 271 +7
