[22:27:37] Name: hidE, Id: 35, Type: 11, Entity: 0, Amount: 2, Value: 0, Desc: Lvl: 2, HP: 29 +9
[22:27:49] Name: hidE, Id: 35, Type: 11, Entity: 0, Amount: 3, Value: 0, Desc: Lvl: 3, HP: 40 +11
[22:27:59] Name: hidE, Id: 35, Type: 11, Entity: 0, Amount: 4, Value: 0, Desc: Lvl: 4, HP: 48 +8
[22:28:09] Name: hidE, Id: 35, Type: 11, Entity: 0, Amount: 5, Value: 0, Desc: Lvl: 5, HP: 58 +10
[22:28:09] Name: hidE, Id: 35, Type: 11, Entity: 0, Amount: 6, Value: 0, Desc: Lvl: 6, HP: 67 +9
[22:28:43] Name: hidE, Id: 35, Type: 11, Entity: 0, Amount: 7, Value: 0, Desc: Lvl: 7, HP: 77 +10
[22:57:54] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 2, Value: 0, Desc: Lvl: 2, HP: 27 +8
[22:58:05] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 3, Value: 0, Desc: Lvl: 3, HP: 37 +10
[22:59:14] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 4, Value: 0, Desc: Lvl: 4, HP: 45 +8
[22:59:18] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 5, Value: 0, Desc: Lvl: 5, HP: 54 +9
[22:59:19] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 6, Value: 0, Desc: Lvl: 6, HP: 63 +9
[22:59:21] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 7, Value: 0, Desc: Lvl: 7, HP: 73 +10
[23:00:02] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 8, Value: 0, Desc: Lvl: 8, HP: 83 +10
[23:00:09] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 9, Value: 0, Desc: Lvl: 9, HP: 92 +9
[23:00:23] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 10, Value: 0, Desc: Lvl: 10, HP: 102 +10
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 11, Value: 0, Desc: Lvl: 11, HP: 110 +8
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 12, Value: 0, Desc: Lvl: 12, HP: 117 +7
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 13, Value: 0, Desc: Lvl: 13, HP: 124 +7
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 14, Value: 0, Desc: Lvl: 14, HP: 134 +10
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 15, Value: 0, Desc: Lvl: 15, HP: 144 +10
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 16, Value: 0, Desc: Lvl: 16, HP: 151 +7
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 17, Value: 0, Desc: Lvl: 17, HP: 160 +9
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 18, Value: 0, Desc: Lvl: 18, HP: 170 +10
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 19, Value: 0, Desc: Lvl: 19, HP: 178 +8
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 20, Value: 0, Desc: Lvl: 20, HP: 188 +10
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 21, Value: 0, Desc: Lvl: 21, HP: 195 +7
[23:00:49] Name: SeNSuI, Id: 36, Type: 11, Entity: 0, Amount: 22, Value: 0, Desc: Lvl: 22, HP: 204 +9
